,id,name,artist,album,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
0,1JQ6Xm1JrvHfvAqhl5pwaA,Easy,Commodores,Commodores,0.589,0.384,10,-15.075,0,0.0332,0.112,2.8e-05,0.0596,0.354,132.909,audio_features,spotify:track:1JQ6Xm1JrvHfvAqhl5pwaA,https://api.spotify.com/v1/tracks/1JQ6Xm1JrvHfvAqhl5pwaA,https://api.spotify.com/v1/audio-analysis/1JQ6Xm1JrvHfvAqhl5pwaA,256427,4
1,7Ar4G7Ci11gpt6sfH9Cgz5,Listen to the Music,The Doobie Brothers,Toulouse Street,0.645,0.598,1,-13.18,0,0.0335,0.221,3.53e-06,0.0721,0.913,105.929,audio_features,spotify:track:7Ar4G7Ci11gpt6sfH9Cgz5,https://api.spotify.com/v1/tracks/7Ar4G7Ci11gpt6sfH9Cgz5,https://api.spotify.com/v1/audio-analysis/7Ar4G7Ci11gpt6sfH9Cgz5,227267,4
2,7j74lucZ59vqN67Ipe2ZcY,Maneater,Daryl Hall & John Oates,H2O,0.724,0.498,11,-13.083,0,0.0423,0.0405,8.56e-05,0.0761,0.823,88.825,audio_features,spotify:track:7j74lucZ59vqN67Ipe2ZcY,https://api.spotify.com/v1/tracks/7j74lucZ59vqN67Ipe2ZcY,https://api.spotify.com/v1/audio-analysis/7j74lucZ59vqN67Ipe2ZcY,273173,4
3,2JvPJ8ydPuN2NhpH4oti6I,Dance Hall Days,Wang Chung,Points On The Curve,0.664,0.589,0,-14.415,1,0.0406,0.259,0.00587,0.221,0.54,102.74,audio_features,spotify:track:2JvPJ8ydPuN2NhpH4oti6I,https://api.spotify.com/v1/tracks/2JvPJ8ydPuN2NhpH4oti6I,https://api.spotify.com/v1/audio-analysis/2JvPJ8ydPuN2NhpH4oti6I,240800,4
4,5VSAonaAPhhGn0G7hMYwWK,Sister Golden Hair,America,Hearts,0.441,0.547,4,-12.222,1,0.0337,0.13,0.000143,0.109,0.716,134.753,audio_features,spotify:track:5VSAonaAPhhGn0G7hMYwWK,https://api.spotify.com/v1/tracks/5VSAonaAPhhGn0G7hMYwWK,https://api.spotify.com/v1/audio-analysis/5VSAonaAPhhGn0G7hMYwWK,199573,4
5,5pULkOE0FEwczzXlm5Jl61,Only Happy When It Rains - 2015 - Remaster,Garbage,Garbage (20th Anniversary Edition),0.512,0.833,11,-4.555,1,0.0326,4.16e-05,0.00134,0.21,0.448,121.47,audio_features,spotify:track:5pULkOE0FEwczzXlm5Jl61,https://api.spotify.com/v1/tracks/5pULkOE0FEwczzXlm5Jl61,https://api.spotify.com/v1/audio-analysis/5pULkOE0FEwczzXlm5Jl61,236533,4
6,7wf3NbGxanYc3qy9NqdNde,Bruise Pristine,Placebo,Placebo,0.355,0.901,1,-7.652,1,0.0348,4.3e-05,0.578,0.295,0.692,176.7,audio_features,spotify:track:7wf3NbGxanYc3qy9NqdNde,https://api.spotify.com/v1/tracks/7wf3NbGxanYc3qy9NqdNde,https://api.spotify.com/v1/audio-analysis/7wf3NbGxanYc3qy9NqdNde,215760,4
7,56KqaFSGTb7ifpt16t5Y1N,Rock the Casbah - Remastered,The Clash,Combat Rock (Remastered),0.797,0.872,9,-6.727,0,0.0575,0.291,0.0,0.284,0.866,129.885,audio_features,spotify:track:56KqaFSGTb7ifpt16t5Y1N,https://api.spotify.com/v1/tracks/56KqaFSGTb7ifpt16t5Y1N,https://api.spotify.com/v1/audio-analysis/56KqaFSGTb7ifpt16t5Y1N,222427,4
8,41v23mPw4Se92JKUGvnkmW,On The Radio,Donna Summer,On The Radio: Greatest Hits Volumes I & II,0.734,0.45,4,-13.92,0,0.035,0.113,1.13e-05,0.296,0.595,127.46,audio_features,spotify:track:41v23mPw4Se92JKUGvnkmW,https://api.spotify.com/v1/tracks/41v23mPw4Se92JKUGvnkmW,https://api.spotify.com/v1/audio-analysis/41v23mPw4Se92JKUGvnkmW,241507,4
9,1Jmqubf9kGkWeYQXQKImL5,People Are Strange,The Doors,Strange Days,0.699,0.467,4,-8.578,0,0.0375,0.685,0.0,0.315,0.764,119.287,audio_features,spotify:track:1Jmqubf9kGkWeYQXQKImL5,https://api.spotify.com/v1/tracks/1Jmqubf9kGkWeYQXQKImL5,https://api.spotify.com/v1/audio-analysis/1Jmqubf9kGkWeYQXQKImL5,130173,4
